district_name,legal_dong,text,source
영등포구,당산동,직장인들이 많아요,survey
영등포구 ,당산동,"평지, 한강가깝고 2호선9호선 이용이 편리함",survey
관악구,미성동,전체적으로 노후한 느낌이 들고 주변에 학원가나 학교가 많아요,survey
양천구,신정동,나무가 많고 조용한 평지 동네라 살기 좋습니다.,survey
서대문구,연희동,"동네에 맛있는 음식점은 많지만, 전체적으로 특정 구역에 가면 하수도 냄새가 나는 곳이 있습니다.",survey
강남구,개포동,"아파트와 자동차가많다. 교통이 불편하다.",survey
중랑구,망우동,편의시설이 많고 교통이 잘되어있다,survey
구로구,구로동,중국간판 밖에 안보임,survey
관악구,신림동,생각보다 살기 좋지만 외국인 은근 많은 동네,survey
마포구,대흥동,경의선 숲길에서 걷기 좋아요,survey
마포구,신수동,젊은 사람들이 많고 번화가라서 술집이 많아서 활력이 넘쳐요,survey
마포구,상수동,건물이 대체로 낮고 평화롭지만 골목골목 길이 좁아 차가 다니기 곤란합니다.,survey
마포구,신수동,오르막길이 많아요,survey
성동구,옥수동,오르막이 심함,survey
강남구,대치동,학원이많아서 사람도많고 항상 막힌다,survey
마포구,신수동,대학가 근처라 저렴한 식당들이 많다,survey
영등포구,대림동,작은 중국 중국 사람이 많고 저녁에 다니기 무서운 곳,survey
관악구,난곡동,쓰레기가 너무 많아요,survey
강서구,화곡동,여기도 쓰레기가 많아요,survey
영등포구,당산동,지구대가 바로 앞이라 안전한 거 같아요,survey
관악구,신림동,서울대입구역이라면서 내리면 서울대입구 없어요. 생각보다 맛집 많아요,survey
강북구 ,미아동,구 시가지의 끝판왕,survey
성동구,용답동,차파는 사람이 많음 신차든 중고차든,survey
동작구 ,본동,주변을 걸어다니기 좋아요,survey
강북구 ,수유동,이것저것 다 있고 좋은 동네,survey
구로구 ,오류동 ,조용하고 가라앉아있는 동네,survey
강남구 ,청담동,사람이 많아요.,survey
마포구,합정동,,survey
마포구,망원동,시장과 한강이 가까워 산책하기 좋고 활기찬 분위기예요.,survey
강북구 ,미아동,마트도 다양하고 사람 사는 느낌이 나는 동,survey
강북구 ,송천동,편의시설이 가까이에 있어서 괜찮은 동네,survey
도봉구,창동,"교통과 생활 인프라가 편리 하며 은행, 카페, 병원등 다양한 편의 시설이 잘 갖추어진 좋은 주거 지역 입니다.",survey
용산구,청파동,숙대 대학가 주변 지역 근처에는 맛집과 카페가 많으며 4호선과 1호선이 가까워서 교통이 편리 하며 활기찬 분위기를 형성 합니다.,survey
마포구,토정동,조용함,survey
마포구,용강동,한적함,survey
서대문구,연희동,사러가 쇼핑몰이 유용해서 좋아요.,survey
마포구,신수동,대학교 앞 맛집이 부족해요.,survey
강남구,청담동,역시 부자동네입니다. 아주 비싸더라고요.,survey
서대문구,연희동,중식 맛집이 많아요.,survey
송파구,잠실동,지하철 이용이 편하고 공원과 쇼핑시설이 가까워 생활하기 편리해요.,survey
송파구,석촌동,석촌호수 주변이 산책하기 좋고 음식점도 많아서 분위기가 좋아요.,survey
성동구,성수동,카페와 상점이 많고 분위기가 활기차지만 사람이 많고 물가가 조금 비싼 느낌이에요.,survey
광진구,자양동,한강과 가깝고 생활편의시설이 많아서 살기 편해 보였어요.,survey
관악구,봉천동,지하철역과 상권이 가까워 생활하기 편하지만 언덕이 있는 곳이 많아요.,survey
관악구,신림동,음식점과 편의시설이 많고 교통도 편하지만 밤에는 조금 시끄러운 편이에요.,survey
강남구,역삼동,지하철과 버스가 많아 교통은 편리하지만 출퇴근 시간에는 많이 복잡해요.,survey
강남구,대치동 ,학원가가 잘 형성되어 있고 생활시설이 많지만 교통량이 많은 편이에요.,survey
마포구,망원동,한강과 가까워 산책하기 좋고 맛집도 많지만 주말에는 사람이 많은 편이에요.,survey
마포구,연남동,카페와 식당이 많아서 놀기 좋지만 주말에는 많이 붐비는 것 같아요.,survey
양천구,신월동,번화가와 멀어 편의시설을 이용하려면 조금 나가야함,survey
양천구,목동,편의시설도 많고 맛집도 다양하지만 주로 학원가,survey
마포구,상수동,"시끄러운 곳만 지나면 매우 조용한,,",survey
성북구,길음동,아이가 많고 거주자가 많아요,survey
송파구,위례동,계획 신도시의 정갈한 위력.,survey
